COUNTY,STNAME,CTYNAME,CENSUS2010POP,BIRTHS2010
0,Alabama,Alabama,4779736,14227
1,Alabama,Autauga County,54571,151
3,Alabama,Baldwin County,182265,516
5,Alabama,Barbour County,27457,70
7,Alabama,Bibb County,22915,44
9,Alabama,Blount County,57322,183
11,Alabama,Bullock County,10914,39
13,Alabama,Butler County,20947,65
15,Alabama,Calhoun County,118572,317
17,Alabama,Chambers County,34215,81
19,Alabama,Cherokee County,25989,55
21,Alabama,Chilton County,43643,123
23,Alabama,Choctaw County,13859,29
25,Alabama,Clarke County,25833,49
27,Alabama,Clay County,13932,27
29,Alabama,Cleburne County,14972,42
31,Alabama,Coffee County,49948,168
33,Alabama,Colbert County,54428,162
35,Alabama,Conecuh County,13228,34
37,Alabama,Coosa County,11539,21
39,Alabama,Covington County,37765,100
41,Alabama,Crenshaw County,13906,37
43,Alabama,Cullman County,80406,249
45,Alabama,Dale County,50251,173
47,Alabama,Dallas County,43820,130
49,Alabama,DeKalb County,71109,232
51,Alabama,Elmore County,79303,235
53,Alabama,Escambia County,38319,121
55,Alabama,Etowah County,104430,260
57,Alabama,Fayette County,17241,42
59,Alabama,Franklin County,31704,120
61,Alabama,Geneva County,26790,74
63,Alabama,Greene County,9045,38
65,Alabama,Hale County,15760,55
67,Alabama,Henry County,17302,40
69,Alabama,Houston County,101547,323
71,Alabama,Jackson County,53227,144
73,Alabama,Jefferson County,658466,2104
75,Alabama,Lamar County,14564,33
77,Alabama,Lauderdale County,92709,239
79,Alabama,Lawrence County,34339,78
81,Alabama,Lee County,140247,412
83,Alabama,Limestone County,82782,223
85,Alabama,Lowndes County,11299,37
87,Alabama,Macon County,21452,65
89,Alabama,Madison County,334811,964
91,Alabama,Marengo County,21027,48
93,Alabama,Marion County,30776,74
95,Alabama,Marshall County,93019,323
97,Alabama,Mobile County,412992,1346
99,Alabama,Monroe County,23068,56
101,Alabama,Montgomery County,229363,713
103,Alabama,Morgan County,119490,384
105,Alabama,Perry County,10591,32
107,Alabama,Pickens County,19746,53
109,Alabama,Pike County,32899,93
111,Alabama,Randolph County,22913,42
113,Alabama,Russell County,52947,192
115,Alabama,St. Clair County,83593,278
117,Alabama,Shelby County,195085,632
119,Alabama,Sumter County,13763,27
121,Alabama,Talladega County,82291,202
123,Alabama,Tallapoosa County,41616,128
125,Alabama,Tuscaloosa County,194656,561
127,Alabama,Walker County,67023,218
129,Alabama,Washington County,17581,41
131,Alabama,Wilcox County,11670,21
133,Alabama,Winston County,24484,59
0,Alaska,Alaska,710231,2893
13,Alaska,Aleutians East Borough,3141,2
16,Alaska,Aleutians West Census Area,5561,5
