Model-Year,Make,Model,Vehicle-Class,Engine-Size,Cylinders,Transmission,Fuel-Type,Fuel-Consumption-City,Fuel-Consumption-Hwy,Fuel-Consumption-Comb,CO2-Emissions
2019,Acura,ILX,Compact,2.4,4,AM8,Z,9.9,7,8.6,199
2019,Acura,MDX SH-AWD,SUV: Small,3.5,6,AS9,Z,12.2,9,10.8,252
2019,Acura,MDX SH-AWD A-SPEC,SUV: Small,3.5,6,AS9,Z,12.2,9.5,11,258
2019,Acura,MDX Hybrid AWD,SUV: Small,3,6,AM7,Z,9.1,9,9,210
2019,Acura,NSX,Two-seater,3.5,6,AM9,Z,11.1,10.8,11,261
2019,Acura,RDX AWD,SUV: Small,2,4,AS10,Z,11,8.6,9.9,232
2019,Acura,RDX AWD A-SPEC,SUV: Small,2,4,AS10,Z,11.3,9.1,10.3,242
2019,Acura,RLX Hybrid,Mid-size,3.5,6,AM7,Z,8.4,8.2,8.4,196
2019,Acura,TLX,Compact,2.4,4,AM8,Z,10,7.1,8.7,205
2019,Acura,TLX A-SPEC,Compact,2.4,4,AM8,Z,10.2,7.4,8.9,209
2019,Acura,TLX SH-AWD,Compact,3.5,6,AS9,Z,11.4,7.7,9.8,228
2019,Acura,TLX SH-AWD A-SPEC,Compact,3.5,6,AS9,Z,12,8.2,10.3,240
2019,Alfa Romeo,4C Coupe,Two-seater,1.8,4,AM6,Z,9.7,6.9,8.4,197
2019,Alfa Romeo,4C Spider,Two-seater,1.8,4,AM6,Z,9.7,6.9,8.4,197
2019,Alfa Romeo,Giulia,Mid-size,2,4,A8,Z,10,7.2,8.7,205
2019,Alfa Romeo,Giulia AWD,Mid-size,2,4,A8,Z,10.5,7.7,9.2,217
2019,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6,A8,Z,13.8,9.6,11.9,280
2019,Alfa Romeo,Stelvio,SUV: Small,2,4,A8,Z,10.3,8.1,9.3,218
2019,Alfa Romeo,Stelvio AWD,SUV: Small,2,4,A8,Z,10.8,8.3,9.6,226
2019,Alfa Romeo,Stelvio AWD Quadrifoglio,SUV: Small,2.9,6,A8,Z,14.1,10.4,12.4,292
2019,Aston Martin,DB11 V8,Minicompact,4,8,A8,Z,13,9.8,11.5,271
2019,Aston Martin,DB11 AMR,Minicompact,5.2,12,A8,Z,15.5,10.6,13.3,312
2019,Aston Martin,DBS Superleggera,Minicompact,5.2,12,A8,Z,16.4,10.7,13.8,324
2019,Aston Martin,Rapide AMR,Subcompact,6,12,A8,Z,16.7,10.9,14.1,332
2019,Aston Martin,Vanquish Zagato,Minicompact,6,12,A8,Z,17.5,11.4,14.7,346
2019,Aston Martin,Vantage V8,Two-seater,4,8,A8,Z,12.7,9.4,11.2,264
2019,Audi,A3,Subcompact,2,4,AM7,X,9.1,6.8,8.1,188
2019,Audi,A3 quattro,Subcompact,2,4,AM7,X,10.9,7.9,9.6,225
2019,Audi,A3 Cabriolet quattro,Subcompact,2,4,AM7,X,10.7,7.9,9.5,221
2019,Audi,A4,Compact,2,4,AM7,Z,8.6,6.9,7.8,182
2019,Audi,A4 quattro,Compact,2,4,AM7,Z,10,7,8.7,204
2019,Audi,A4 allroad quattro,Station wagon: Small,2,4,AM7,Z,10.7,8,9.5,221
2019,Audi,A5 quattro,Subcompact,2,4,AM7,Z,10,7,8.7,204
2019,Audi,A5 Cabriolet quattro,Subcompact,2,4,AM7,Z,10,7,8.7,204
2019,Audi,A5 Sportback quattro,Mid-size,2,4,AM7,Z,10,7,8.7,204
2019,Audi,A6 quattro,Mid-size,3,6,AM7,Z,10.7,8.2,9.6,224
2019,Audi,A7 quattro,Mid-size,3,6,AM7,Z,10.7,8.2,9.6,224
2019,Audi,A8L,Full-size,3,6,AS8,Z,12.5,8.6,10.8,202
2019,Audi,Q3 quattro,SUV: Small,2,4,AS8,X,12.3,8.6,10.6,248
2019,Audi,Q5,SUV: Small,2,4,AM7,Z,10.9,8.7,9.9,230
2019,Audi,Q7,SUV: Standard,2,4,AS8,Z,12.2,9.5,11,258
2019,Audi,Q7,SUV: Standard,3,6,AS8,Z,12.6,9.4,11.1,260
2019,Audi,Q8,SUV: Standard,3,6,AS8,Z,14,10.7,12.5,294
2019,Audi,RS 3,Subcompact,2.5,5,AM7,Z,12.4,8.4,10.6,247
